project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,3268000,-,1970,Strata,36 to 40,1659,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1348000,-,527,Strata,51 to 55,2556,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2790180,-,1173,Strata,11 to 15,2378,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1977000,-,840,Strata,26 to 30,2355,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2250000,-,1109,Strata,26 to 30,2029,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1370000,-,527,Strata,36 to 40,2597,Feb-21
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,1650000,-,1119,Strata,16 to 20,1474,Feb-21
JUI RESIDENCES,SERANGOON ROAD,Apartment,12,RCR,Freehold,New Sale,1,1700000,-,883,Strata,16 to 20,1926,Feb-21
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1580000,-,861,Strata,21 to 25,1835,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3007000,-,1496,Strata,31 to 35,2010,Feb-21
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1528888,-,1195,Strata,06 to 10,1280,Feb-21
THE BELLEFORTE,AH HOOD ROAD,Apartment,12,RCR,Freehold,Resale,1,1840000,-,1432,Strata,16 to 20,1285,Feb-21
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1580000,-,797,Strata,16 to 20,1984,Feb-21
AVA TOWERS,AVA ROAD,Apartment,12,RCR,Freehold,Resale,1,1450000,-,1281,Strata,01 to 05,1132,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1905000,-,807,Strata,16 to 20,2360,Feb-21
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,2395000,-,1733,Strata,01 to 05,1382,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,860000,-,441,Strata,21 to 25,1949,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,845000,-,484,Strata,16 to 20,1744,Feb-21
VISTA RESIDENCES,JALAN DATOH,Condominium,12,RCR,Freehold,Resale,1,1830000,-,1173,Strata,11 to 15,1560,Feb-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,926000,-,441,Strata,11 to 15,2098,Feb-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,3200000,-,1959,Strata,36 to 40,1633,Feb-21
THE ARTE,JALAN RAJA UDANG,Condominium,12,RCR,Freehold,Resale,1,2200000,-,1528,Strata,16 to 20,1439,Feb-21
HERTFORD COLLECTION,HERTFORD ROAD,Apartment,8,RCR,Freehold,Resale,1,770000,-,560,Strata,01 to 05,1376,Feb-21
QUEENSWAY TOWER,QUEENSWAY,Apartment,3,RCR,Freehold,Resale,1,1280000,-,1292,Strata,11 to 15,991,Feb-21
28 RC SUITES,RACE COURSE LANE,Apartment,8,RCR,Freehold,Resale,1,630000,-,409,Strata,01 to 05,1540,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2264000,-,1109,Strata,31 to 35,2042,Feb-21
CITY STUDIOS,RACE COURSE LANE,Apartment,8,RCR,Freehold,Resale,1,600000,-,474,Strata,01 to 05,1267,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1365000,-,527,Strata,31 to 35,2588,Feb-21
THE VERVE,JALAN RAJAH,Apartment,12,RCR,Freehold,Resale,1,1200000,-,1109,Strata,11 to 15,1082,Feb-21
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,Resale,1,1772000,-,926,Strata,21 to 25,1914,Feb-21
ST MICHAEL'S PLACE,JALAN TAMAN,Apartment,12,RCR,Freehold,Resale,1,1300000,-,1259,Strata,01 to 05,1032,Feb-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,1747000,-,936,Strata,06 to 10,1866,Feb-21
THE CENTRIO,IRRAWADDY ROAD,Apartment,12,RCR,Freehold,Resale,1,1968000,-,1421,Strata,01 to 05,1385,Feb-21
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,Sub Sale,1,1900000,-,1001,Strata,31 to 35,1898,Feb-21
EMERALD PARK,INDUS ROAD,Condominium,3,RCR,99 yrs lease commencing from 1991,Resale,1,1420000,-,1206,Strata,06 to 10,1178,Feb-21
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1420000,-,1033,Strata,06 to 10,1374,Feb-21
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,700000,-,441,Strata,06 to 10,1586,Feb-21
ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2016,Sub Sale,1,1450000,-,786,Strata,06 to 10,1845,Feb-21
ECOVILLE,MARTABAN ROAD,Apartment,12,RCR,Freehold,Resale,1,1500000,-,1184,Strata,01 to 05,1267,Feb-21
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,Sub Sale,1,1136000,-,624,Strata,06 to 10,1820,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,900000,-,474,Strata,36 to 40,1900,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1871000,-,947,Strata,16 to 20,1975,Feb-21
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1550000,-,1055,Strata,06 to 10,1469,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2105830,-,818,Strata,16 to 20,2574,Feb-21
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,716888,-,441,Strata,16 to 20,1624,Feb-21
DE ROYALE,JALAN RAMA RAMA,Condominium,12,RCR,Freehold,Resale,1,1738000,-,1259,Strata,01 to 05,1380,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1523000,-,689,Strata,36 to 40,2211,Feb-21
THE CREST,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,3250000,-,1647,Strata,16 to 20,1973,Feb-21
TANGLIN VIEW,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 1997,Resale,1,1532000,-,1163,Strata,06 to 10,1318,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2780170,-,1173,Strata,06 to 10,2370,Feb-21
RITZ MANSIONS,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1200000,-,861,Strata,06 to 10,1394,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2598000,-,1098,Strata,06 to 10,2366,Feb-21
VETRO,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,742000,-,614,Strata,11 to 15,1209,Feb-21
ONE DUSUN RESIDENCES,JALAN DUSUN,Apartment,12,RCR,Freehold,Resale,1,1010000,-,667,Strata,11 to 15,1513,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1121000,-,527,Strata,31 to 35,2125,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3155200,-,1249,Strata,16 to 20,2527,Feb-21
MARGARET VILLE,MARGARET DRIVE,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1876400,-,969,Strata,26 to 30,1937,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1644000,-,732,Strata,46 to 50,2246,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1129000,-,527,Strata,31 to 35,2141,Feb-21
MERA SPRINGS,CARLISLE ROAD,Condominium,8,RCR,Freehold,Resale,1,2500000,-,1550,Strata,06 to 10,1613,Feb-21
TRELLIS TOWERS,LORONG 1 TOA PAYOH,Condominium,12,RCR,Freehold,Resale,1,840000,-,549,Strata,06 to 10,1530,Feb-21
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1350000,-,1184,Strata,06 to 10,1140,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1901000,-,840,Strata,01 to 05,2264,Feb-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,974000,-,441,Strata,16 to 20,2207,Feb-21
PINNACLE 16,SHAN ROAD,Apartment,12,RCR,Freehold,Resale,1,860000,-,592,Strata,06 to 10,1453,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1980000,-,1055,Strata,41 to 45,1877,Feb-21
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,1575000,-,1195,Strata,06 to 10,1318,Feb-21
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1980000,-,1356,Strata,16 to 20,1460,Feb-21
REGENCY SUITES,KIM TIAN ROAD,Apartment,3,RCR,Freehold,Resale,1,1760000,-,980,Strata,06 to 10,1797,Feb-21
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1480000,-,1195,Strata,11 to 15,1239,Feb-21
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,Sub Sale,1,960000,-,495,Strata,16 to 20,1939,Feb-21
AIRSTREAM,ST. MICHAEL'S ROAD,Apartment,12,RCR,Freehold,Resale,1,680000,-,474,Strata,11 to 15,1436,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2672000,-,1216,Strata,06 to 10,2197,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2569000,-,1098,Strata,06 to 10,2340,Feb-21
ST FRANCIS COURT,ST. FRANCIS ROAD,Apartment,12,RCR,99 yrs lease commencing from 1992,Resale,1,772000,-,818,Strata,06 to 10,944,Feb-21
CITYSCAPE @FARRER PARK,MERGUI ROAD,Condominium,8,RCR,Freehold,Resale,1,1408000,-,969,Strata,11 to 15,1453,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,1225000,-,689,Strata,06 to 10,1778,Feb-21
THE VERVE,JALAN RAJAH,Apartment,12,RCR,Freehold,Resale,1,810000,-,603,Strata,16 to 20,1344,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3095400,-,1249,Strata,11 to 15,2479,Feb-21
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,3,RCR,Freehold,Resale,1,1860000,-,1378,Strata,01 to 05,1350,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2098550,-,818,Strata,16 to 20,2565,Feb-21
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1420000,-,1033,Strata,01 to 05,1374,Feb-21
DOMUS,IRRAWADDY ROAD,Apartment,12,RCR,Freehold,Resale,1,2050000,-,1367,Strata,16 to 20,1500,Feb-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,949000,-,441,Strata,11 to 15,2150,Feb-21
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1670000,-,678,Strata,16 to 20,2463,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1908000,-,893,Strata,01 to 05,2136,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1551000,-,689,Strata,41 to 45,2251,Jan-21
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1553000,-,753,Strata,06 to 10,2061,Jan-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4213800,-,1711,Strata,11 to 15,2462,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1917000,-,840,Strata,01 to 05,2283,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1434000,-,721,Strata,11 to 15,1988,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2285000,-,1109,Strata,31 to 35,2061,Jan-21
RESIDENTIAL APARTMENTS,SERANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,1250000,-,1528,Strata,01 to 05,818,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1893000,-,893,Strata,01 to 05,2119,Jan-21
TWIN REGENCY,KIM TIAN ROAD,Condominium,3,RCR,Freehold,Resale,1,1810000,-,980,Strata,11 to 15,1848,Jan-21
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,3,RCR,Freehold,Resale,1,2008888,-,1421,Strata,01 to 05,1414,Jan-21
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2008,Resale,1,1560000,-,1012,Strata,26 to 30,1542,Jan-21
KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 yrs lease commencing from 1998,Resale,1,1500000,-,1259,Strata,26 to 30,1191,Jan-21
MARGARET VILLE,MARGARET DRIVE,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1524194,-,829,Strata,31 to 35,1839,Jan-21
VISTA RESIDENCES,JALAN DATOH,Condominium,12,RCR,Freehold,Resale,1,1770000,-,1152,Strata,16 to 20,1537,Jan-21
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1320000,-,872,Strata,06 to 10,1514,Jan-21
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,Condominium,3,RCR,99 yrs lease commencing from 1992,Resale,1,2950000,-,2110,Strata,21 to 25,1398,Jan-21
PARC SOMME,SOMME ROAD,Apartment,8,RCR,99 yrs lease commencing from 2008,Resale,1,720000,-,743,Strata,06 to 10,969,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3468000,-,1668,Strata,56 to 60,2079,Jan-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,905000,-,441,Strata,11 to 15,2051,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2961000,-,1281,Strata,21 to 25,2312,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1880000,-,807,Strata,16 to 20,2329,Jan-21
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,Resale,1,1630000,-,926,Strata,06 to 10,1761,Jan-21
OKIO,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,880000,-,592,Strata,06 to 10,1486,Jan-21
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,Condominium,3,RCR,99 yrs lease commencing from 1992,Resale,1,1150000,-,775,Strata,11 to 15,1484,Jan-21
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,2450000,-,1518,Strata,11 to 15,1614,Jan-21
EMERALD PARK,INDUS ROAD,Condominium,3,RCR,99 yrs lease commencing from 1991,Resale,1,1170000,-,926,Strata,11 to 15,1264,Jan-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1350000,-,635,Strata,31 to 35,2126,Jan-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1361000,-,635,Strata,36 to 40,2143,Jan-21
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,1180000,-,840,Strata,11 to 15,1405,Jan-21
EMERALD PARK,INDUS ROAD,Condominium,3,RCR,99 yrs lease commencing from 1991,Resale,1,1300000,-,1012,Strata,11 to 15,1285,Jan-21
THE MERLOT,KENG LEE ROAD,Apartment,8,RCR,Freehold,Resale,1,740000,-,517,Strata,11 to 15,1432,Jan-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1548900,-,560,Strata,16 to 20,2767,Jan-21
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1530000,-,678,Strata,21 to 25,2256,Jan-21
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,2150000,-,1356,Strata,31 to 35,1585,Jan-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1418000,-,678,Strata,26 to 30,2091,Jan-21
CITIGATE RESIDENCE,RANGOON ROAD,Apartment,8,RCR,Freehold,Resale,1,620000,-,441,Strata,01 to 05,1405,Jan-21
CITYSCAPE @FARRER PARK,MERGUI ROAD,Condominium,8,RCR,Freehold,Resale,1,1450000,-,990,Strata,21 to 25,1464,Jan-21
HOA NAM BUILDING,FOCH ROAD,Apartment,8,RCR,Freehold,Resale,1,990000,-,850,Strata,06 to 10,1164,Jan-21
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,Resale,1,1380000,-,657,Strata,36 to 40,2102,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1550000,-,657,Strata,36 to 40,2361,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1692000,-,700,Strata,16 to 20,2418,Jan-21
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2008,Resale,1,2320000,-,1819,Strata,16 to 20,1275,Jan-21
THE CALLISTA,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,1200000,-,1302,Strata,01 to 05,921,Jan-21
JUI RESIDENCES,SERANGOON ROAD,Apartment,12,RCR,Freehold,New Sale,1,1688000,-,893,Strata,16 to 20,1889,Jan-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,855000,-,441,Strata,16 to 20,1937,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1030000,-,538,Strata,16 to 20,1914,Jan-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4311000,-,1711,Strata,16 to 20,2519,Jan-21
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,2150000,-,1076,Strata,16 to 20,1997,Jan-21
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1350000,-,764,Strata,01 to 05,1766,Jan-21
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,3,RCR,Freehold,Resale,1,2050000,-,1421,Strata,01 to 05,1443,Jan-21
OKIO,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1280000,-,1044,Strata,16 to 20,1226,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1329000,-,732,Strata,06 to 10,1816,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1900000,-,1001,Strata,16 to 20,1898,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1925000,-,893,Strata,06 to 10,2155,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1092000,-,527,Strata,21 to 25,2070,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2965000,-,1496,Strata,26 to 30,1982,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2011000,-,893,Strata,16 to 20,2251,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1474000,-,657,Strata,31 to 35,2245,Jan-21
NOVA 88,BHAMO ROAD,Apartment,12,RCR,Freehold,Resale,1,1200000,-,926,Strata,01 to 05,1296,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1805000,-,1033,Strata,06 to 10,1747,Jan-21
TWIN REGENCY,KIM TIAN ROAD,Condominium,3,RCR,Freehold,Resale,1,2250000,-,1216,Strata,31 to 35,1850,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1587000,-,689,Strata,46 to 50,2304,Jan-21
ECHELON,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2012,Resale,1,1439000,-,732,Strata,41 to 45,1966,Jan-21
VISTA RESIDENCES,JALAN DATOH,Condominium,12,RCR,Freehold,Resale,1,1800000,-,1195,Strata,06 to 10,1507,Jan-21
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 yrs lease commencing from 2004,Resale,1,1900000,-,1313,Strata,31 to 35,1447,Jan-21
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1478000,-,753,Strata,01 to 05,1962,Jan-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,1509000,-,753,Strata,11 to 15,2003,Jan-21
WAI WING CENTRE,BALESTIER ROAD,Apartment,12,RCR,Freehold,Resale,1,1280000,-,1292,Strata,06 to 10,991,Jan-21
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,2225000,-,1496,Strata,11 to 15,1487,Jan-21
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1630000,-,861,Strata,16 to 20,1893,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1308000,-,732,Strata,06 to 10,1787,Jan-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 yrs lease commencing from 2017,New Sale,1,1436000,-,732,Strata,21 to 25,1962,Jan-21
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 yrs lease commencing from 2011,Resale,1,725000,-,441,Strata,11 to 15,1643,Jan-21
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1541000,-,753,Strata,06 to 10,2045,Jan-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,1035000,-,463,Strata,21 to 25,2236,Jan-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,979000,-,441,Strata,21 to 25,2218,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1356000,-,657,Strata,26 to 30,2065,Jan-21
KIM KEAT LODGE,KIM KEAT ROAD,Apartment,12,RCR,Freehold,Resale,1,1470000,-,1378,Strata,06 to 10,1067,Jan-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,2648000,-,1346,Strata,36 to 40,1968,Jan-21
THE ARTE,JALAN RAJA UDANG,Condominium,12,RCR,Freehold,Resale,1,2485000,-,1873,Strata,06 to 10,1327,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1772000,-,721,Strata,46 to 50,2457,Jan-21
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,1688800,-,1216,Strata,01 to 05,1388,Jan-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,1485000,-,678,Strata,36 to 40,2190,Jan-21
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1870000,-,1216,Strata,16 to 20,1537,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1463000,-,570,Strata,26 to 30,2564,Jan-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1160000,-,431,Strata,31 to 35,2694,Jan-21
VERTICUS,JALAN KEMAMAN,Apartment,12,RCR,Freehold,New Sale,1,1270000,-,635,Strata,11 to 15,2000,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1126000,-,527,Strata,31 to 35,2135,Jan-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1681000,-,721,Strata,36 to 40,2331,Jan-21
