project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
LOYANG VALLEY,LOYANG AVENUE,Condominium,17,OCR,99 yrs lease commencing from 1982,Resale,1,820000,-,1033,Strata,01 to 05,794,Jul-19
COSTA DEL SOL,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1997,Resale,1,1600000,-,1238,Strata,11 to 15,1293,Jul-19
BEDOK COURT,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,2050000,-,2411,Strata,06 to 10,850,Jul-19
MY MANHATTAN,SIMEI STREET 3,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,1200000,-,1604,Strata,06 to 10,748,Jul-19
COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1650000,-,1378,Strata,06 to 10,1198,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1367000,-,1033,Strata,11 to 15,1323,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,653000,-,463,Strata,01 to 05,1411,Jul-19
SEASTRAND,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,840000,-,883,Strata,06 to 10,952,Jul-19
THE INFLORA,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2012,Resale,1,508000,-,463,Strata,06 to 10,1098,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1117000,-,915,Strata,01 to 05,1221,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,770000,-,581,Strata,01 to 05,1325,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1046000,-,818,Strata,06 to 10,1279,Jul-19
DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1800000,-,1550,Strata,11 to 15,1161,Jul-19
THE BAYCOURT,UPPER EAST COAST ROAD,Condominium,16,OCR,Freehold,Resale,1,1600000,-,1346,Strata,01 to 05,1189,Jul-19
THE TANAMERA,TANAH MERAH KECHIL ROAD,Condominium,16,OCR,99 yrs lease commencing from 1990,Resale,1,1360000,-,1518,Strata,06 to 10,896,Jul-19
EASTWOOD CENTRE,EASTWOOD ROAD,Apartment,16,OCR,99 yrs lease commencing from 1995,Resale,1,1020000,-,1367,Strata,01 to 05,746,Jul-19
ELIAS GREEN,ELIAS GREEN,Condominium,18,OCR,99 yrs lease commencing from 1991,Resale,1,1089000,-,1518,Strata,06 to 10,718,Jul-19
Q BAY RESIDENCES,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2012,Resale,1,880000,-,797,Strata,06 to 10,1105,Jul-19
COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1140000,-,904,Strata,01 to 05,1261,Jul-19
CASAFINA,BEDOK SOUTH AVENUE 1,Condominium,16,OCR,99 yrs lease commencing from 1996,Resale,1,1230000,-,1378,Strata,01 to 05,893,Jul-19
NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,590000,-,495,Strata,11 to 15,1192,Jul-19
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1442000,-,1087,Strata,11 to 15,1326,Jul-19
