project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,2025000,-,818,Strata,06 to 10,2475,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1100000,-,635,Strata,16 to 20,1732,Feb-21
HOLLAND HILL PARK,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,2450000,-,1625,Strata,01 to 05,1507,Feb-21
RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,Resale,1,968000,-,527,Strata,01 to 05,1835,Feb-21
URBANA,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,Resale,1,2650000,-,1313,Strata,16 to 20,2018,Feb-21
SUTTON PLACE,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,2328000,-,1356,Strata,01 to 05,1716,Feb-21
CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,Resale,1,1350000,-,689,Strata,01 to 05,1960,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1755000,-,1012,Strata,21 to 25,1735,Feb-21
SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,Freehold,Resale,1,2330000,-,1453,Strata,01 to 05,1603,Feb-21
PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,3280000,-,1701,Strata,06 to 10,1929,Feb-21
ORCHARD TOWERS,CLAYMORE DRIVE,Apartment,9,CCR,Freehold,Resale,1,2550000,-,1970,Strata,11 to 15,1295,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,Condominium,11,CCR,Freehold,Resale,1,1490000,-,732,Strata,11 to 15,2036,Feb-21
PARC SOPHIA,ADIS ROAD,Apartment,9,CCR,Freehold,Resale,1,900000,-,549,Strata,01 to 05,1639,Feb-21
RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,Resale,1,950000,-,603,Strata,01 to 05,1576,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2708000,-,990,Strata,01 to 05,2735,Feb-21
8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,3550000,-,1302,Strata,06 to 10,2726,Feb-21
ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,Resale,1,1600000,-,1033,Strata,06 to 10,1548,Feb-21
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1960930,-,829,Strata,01 to 05,2366,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1330000,-,463,Strata,06 to 10,2873,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2877000,-,1066,Strata,01 to 05,2700,Feb-21
MIRAGE TOWER,KIM SENG ROAD,Condominium,9,CCR,Freehold,Resale,1,1250000,-,570,Strata,21 to 25,2191,Feb-21
111 EMERALD HILL,EMERALD HILL ROAD,Apartment,9,CCR,Freehold,Resale,1,5400000,-,2497,Strata,06 to 10,2162,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,3119000,-,1141,Strata,01 to 05,2734,Feb-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,3230000,-,1894,Strata,06 to 10,1705,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,2335000,-,1442,Strata,31 to 35,1619,Feb-21
THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,Resale,1,1400000,-,1152,Strata,01 to 05,1216,Feb-21
THE MARQ ON PATERSON HILL,PATERSON HILL,Condominium,9,CCR,Freehold,Resale,1,25000000,-,6232,Strata,01 to 05,4011,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2898000,-,1044,Strata,01 to 05,2776,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2194000,-,958,Strata,11 to 15,2290,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2166000,-,915,Strata,11 to 15,2367,Feb-21
SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,Resale,1,1510000,-,1012,Strata,11 to 15,1492,Feb-21
GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,Resale,1,7380000,-,2852,Strata,06 to 10,2587,Feb-21
REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,Resale,1,6800000,-,3649,Strata,16 to 20,1864,Feb-21
8 RODYK,RODYK STREET,Apartment,9,CCR,Freehold,Resale,1,3111900,-,1518,Strata,06 to 10,2050,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,6773000,-,2067,Strata,26 to 30,3277,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,6588000,-,2067,Strata,16 to 20,3188,Feb-21
PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,4950000,-,2164,Strata,01 to 05,2288,Feb-21
ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,Resale,1,4000000,-,2982,Strata,01 to 05,1342,Feb-21
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,Resale,1,4680000,-,1970,Strata,01 to 05,2376,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1608000,-,689,Strata,01 to 05,2334,Feb-21
THREE BUCKLEY,BUCKLEY ROAD,Apartment,11,CCR,Freehold,Resale,1,3490825,-,2336,Strata,01 to 05,1494,Feb-21
THE MORNINGSIDE,JALAN KUALA,Apartment,9,CCR,Freehold,Resale,1,2500000,-,1302,Strata,06 to 10,1919,Feb-21
26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,1797469,-,775,Strata,06 to 10,2319,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,3532000,-,1496,Strata,01 to 05,2361,Feb-21
MARTIN MODERN,MARTIN PLACE,Condominium,9,CCR,99 yrs lease commencing from 2016,New Sale,1,1893400,1882600,764,Strata,01 to 05,2463,Feb-21
THE HYDE,BALMORAL ROAD,Condominium,10,CCR,Freehold,New Sale,1,1371000,-,495,Strata,01 to 05,2769,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1790000,-,667,Strata,01 to 05,2682,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2555000,-,1098,Strata,06 to 10,2327,Feb-21
THE HYDE,BALMORAL ROAD,Condominium,10,CCR,Freehold,New Sale,1,3856720,-,1249,Strata,01 to 05,3089,Feb-21
8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,3562800,-,1302,Strata,06 to 10,2735,Feb-21
LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,6100000,-,2766,Strata,01 to 05,2205,Feb-21
MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,Resale,1,2340100,-,1475,Strata,06 to 10,1587,Feb-21
TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,Resale,1,1900000,-,1033,Strata,01 to 05,1839,Feb-21
M21,MANDALAY ROAD,Apartment,11,CCR,Freehold,Resale,1,2700000,-,1755,Strata,16 to 20,1539,Feb-21
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 yrs lease commencing from 2018,New Sale,1,1820896,-,635,Strata,11 to 15,2867,Feb-21
NEWTON SUITES,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,2800000,-,1238,Strata,26 to 30,2262,Feb-21
REIGNWOOD HAMILTON SCOTTS,SCOTTS ROAD,Apartment,9,CCR,Freehold,Resale,1,7080000,-,2756,Strata,06 to 10,2569,Feb-21
FERRELL RESIDENCES,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,Resale,1,3200000,-,1841,Strata,06 to 10,1739,Feb-21
LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,6130000,-,2766,Strata,16 to 20,2216,Feb-21
MARTIN PLACE RESIDENCES,MARTIN PLACE,Condominium,9,CCR,Freehold,Resale,1,2420000,-,1044,Strata,21 to 25,2318,Feb-21
WATERMARK ROBERTSON QUAY,RODYK STREET,Apartment,9,CCR,Freehold,Resale,1,3095000,-,1830,Strata,06 to 10,1691,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1128000,-,635,Strata,11 to 15,1776,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1008000,-,657,Strata,06 to 10,1535,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,6350000,-,2067,Strata,11 to 15,3073,Feb-21
TIARA,KIM SENG WALK,Condominium,9,CCR,Freehold,Resale,1,2938000,-,1507,Strata,01 to 05,1950,Feb-21
PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,4315000,-,1679,Strata,06 to 10,2570,Feb-21
YONG AN PARK,RIVER VALLEY ROAD,Condominium,9,CCR,Freehold,Resale,1,7000000,-,4585,Strata,06 to 10,1527,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,2050000,-,1432,Strata,11 to 15,1432,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2153000,-,775,Strata,01 to 05,2778,Feb-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,2050000,-,1195,Strata,11 to 15,1716,Feb-21
26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,1783870,-,775,Strata,06 to 10,2302,Feb-21
MARTIN NO 38,MARTIN ROAD,Apartment,9,CCR,Freehold,Resale,1,2300000,-,969,Strata,01 to 05,2374,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2438000,-,1055,Strata,11 to 15,2311,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2190000,-,915,Strata,11 to 15,2394,Feb-21
WILSHIRE RESIDENCES,FARRER ROAD,Apartment,10,CCR,Freehold,New Sale,1,1180000,-,463,Strata,06 to 10,2549,Feb-21
15 HOLLAND HILL,HOLLAND HILL,Apartment,10,CCR,Freehold,New Sale,1,5395688,-,1798,Strata,06 to 10,3002,Feb-21
8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,3610000,-,1302,Strata,11 to 15,2772,Feb-21
TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,Resale,1,1138000,-,850,Strata,01 to 05,1338,Feb-21
ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,Resale,1,1850000,-,1023,Strata,01 to 05,1809,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,3996000,-,1432,Strata,01 to 05,2791,Feb-21
BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,Freehold,Resale,1,2980000,-,1410,Strata,01 to 05,2113,Feb-21
MARTIN NO 38,MARTIN ROAD,Apartment,9,CCR,Freehold,Resale,1,3800000,-,1485,Strata,11 to 15,2558,Feb-21
1 MOULMEIN RISE,MOULMEIN RISE,Apartment,11,CCR,Freehold,Resale,1,2360000,-,1238,Strata,21 to 25,1907,Feb-21
ORCHARD TOWERS,CLAYMORE DRIVE,Apartment,9,CCR,Freehold,Resale,1,2650000,-,1970,Strata,11 to 15,1345,Feb-21
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,Apartment,9,CCR,Freehold,Resale,1,1060000,-,581,Strata,01 to 05,1824,Feb-21
VIDA,PECK HAY ROAD,Apartment,9,CCR,Freehold,Resale,2,2560000,-,1378,Strata,01 to 05,1858,Feb-21
STARLIGHT SUITES,RIVER VALLEY CLOSE,Apartment,9,CCR,Freehold,Resale,1,1600000,-,850,Strata,11 to 15,1882,Feb-21
UE SQUARE,RIVER VALLEY ROAD,Apartment,9,CCR,929 yrs lease commencing from 1953,Resale,1,1880000,-,1055,Strata,06 to 10,1782,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,3297000,-,1141,Strata,06 to 10,2890,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1478000,-,689,Strata,01 to 05,2145,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,1712000,-,667,Strata,01 to 05,2565,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,3786000,-,1432,Strata,01 to 05,2645,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,3576000,-,1141,Strata,16 to 20,3134,Feb-21
VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,3280000,-,1808,Strata,11 to 15,1814,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2953000,-,1076,Strata,01 to 05,2743,Feb-21
FYVE DERBYSHIRE,DERBYSHIRE ROAD,Apartment,11,CCR,Freehold,New Sale,1,1391000,-,592,Strata,06 to 10,2350,Feb-21
FYVE DERBYSHIRE,DERBYSHIRE ROAD,Apartment,11,CCR,Freehold,New Sale,1,1526000,-,657,Strata,06 to 10,2324,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,3933000,-,1604,Strata,21 to 25,2452,Feb-21
HOLLAND HILL PARK,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,2500000,-,1647,Strata,01 to 05,1518,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1850000,-,667,Strata,06 to 10,2772,Feb-21
CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,Resale,1,3350000,-,1485,Strata,16 to 20,2255,Feb-21
PINETREE CONDOMINIUM,BALMORAL PARK,Condominium,10,CCR,Freehold,Resale,1,2880000,-,1808,Strata,01 to 05,1593,Feb-21
TRILIGHT,NEWTON ROAD,Condominium,11,CCR,Freehold,Resale,1,4200000,-,2099,Strata,26 to 30,2001,Feb-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4212000,-,1496,Strata,06 to 10,2815,Feb-21
MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,Resale,1,3368000,-,2551,Strata,31 to 35,1320,Feb-21
VISIONCREST,OXLEY RISE,Apartment,9,CCR,Freehold,Resale,1,2400000,-,1227,Strata,01 to 05,1956,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2118000,-,915,Strata,01 to 05,2315,Feb-21
8 @ MOUNT SOPHIA,MOUNT SOPHIA,Condominium,9,CCR,103 yrs lease commencing from 2002,Resale,1,1700000,-,1033,Strata,01 to 05,1645,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,1738000,-,936,Strata,26 to 30,1856,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,1286000,-,517,Strata,06 to 10,2489,Feb-21
VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,Resale,1,1557600,-,947,Strata,06 to 10,1644,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,938800,-,495,Strata,11 to 15,1896,Feb-21
LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,3450000,-,1615,Strata,06 to 10,2137,Feb-21
NOVENA LODGE,JALAN MERLIMAU,Condominium,11,CCR,Freehold,Resale,1,1050000,-,700,Strata,01 to 05,1501,Feb-21
BOULEVARD 88,ORCHARD BOULEVARD,Apartment,10,CCR,Freehold,New Sale,1,6633800,-,1776,Strata,21 to 25,3735,Feb-21
NEWTON 18,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,1165000,-,614,Strata,21 to 25,1899,Feb-21
VENTUNO BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,Resale,1,2300000,-,1313,Strata,01 to 05,1751,Feb-21
SKY@ELEVEN,THOMSON LANE,Condominium,11,CCR,Freehold,Resale,1,4825000,-,2820,Strata,16 to 20,1711,Feb-21
LEONIE TOWERS,LEONIE HILL,Apartment,9,CCR,Freehold,Resale,1,5428000,-,3251,Strata,21 to 25,1670,Feb-21
RESIDENCES @ KILLINEY,KILLINEY ROAD,Apartment,9,CCR,Freehold,Resale,1,4000000,-,2325,Strata,01 to 05,1720,Feb-21
BALMORAL HEIGHTS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,Resale,1,1100000,-,549,Strata,06 to 10,2004,Feb-21
VENTUNO BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,Resale,1,2245000,-,1313,Strata,01 to 05,1710,Feb-21
VIVACE,TONG WATT ROAD,Apartment,9,CCR,999 yrs lease commencing from 1841,Resale,1,780000,-,398,Strata,01 to 05,1958,Feb-21
RICHMOND PARK,BIDEFORD ROAD,Condominium,9,CCR,Freehold,Resale,1,3168000,-,1259,Strata,16 to 20,2516,Feb-21
TWENTYONE ANGULLIA PARK,ANGULLIA PARK,Condominium,9,CCR,Freehold,Resale,1,9350000,-,2314,Strata,21 to 25,4040,Feb-21
THE VERMONT ON CAIRNHILL,CAIRNHILL RISE,Apartment,9,CCR,Freehold,Resale,1,3150000,-,1442,Strata,16 to 20,2184,Feb-21
THE IMPERIAL,JALAN RUMBIA,Condominium,9,CCR,Freehold,Resale,1,3000000,-,1410,Strata,06 to 10,2128,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2200000,-,915,Strata,06 to 10,2405,Feb-21
VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1480000,-,861,Strata,06 to 10,1719,Feb-21
LIV ON SOPHIA,ADIS ROAD,Apartment,9,CCR,Freehold,Resale,1,1238000,-,527,Strata,01 to 05,2347,Feb-21
SYLVAN LODGE,HOLLAND ROAD,Apartment,10,CCR,Freehold,Resale,1,1235000,-,797,Strata,01 to 05,1550,Feb-21
AVALON,ANDERSON ROAD,Condominium,10,CCR,Freehold,Resale,1,2800000,-,1582,Strata,01 to 05,1770,Feb-21
BELLE VUE RESIDENCES,OXLEY WALK,Condominium,9,CCR,Freehold,Resale,1,3100000,-,1561,Strata,01 to 05,1986,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2078000,-,915,Strata,01 to 05,2271,Feb-21
TOWNHOUSE APARTMENTS,CAVENAGH ROAD,Apartment,9,CCR,99 yrs lease commencing from 1977,Resale,1,2550000,-,2906,Strata,11 to 15,877,Feb-21
LEEDON 2,LEEDON ROAD,Condominium,10,CCR,Freehold,Resale,1,1638800,-,840,Strata,11 to 15,1952,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,3280000,-,1722,Strata,16 to 20,1904,Feb-21
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2267178,2208290,797,Strata,16 to 20,2772,Feb-21
MARTIN MODERN,MARTIN PLACE,Condominium,9,CCR,99 yrs lease commencing from 2016,New Sale,1,2474000,2386000,850,Strata,26 to 30,2806,Feb-21
MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,Resale,1,1328000,-,807,Strata,26 to 30,1645,Feb-21
CUBE 8,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1390000,-,926,Strata,11 to 15,1502,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1207000,-,463,Strata,01 to 05,2608,Jan-21
NEU AT NOVENA,MOULMEIN RISE,Apartment,11,CCR,Freehold,New Sale,1,2143000,-,818,Strata,01 to 05,2620,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2712000,-,1109,Strata,01 to 05,2446,Jan-21
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 yrs lease commencing from 2018,New Sale,1,1555696,-,592,Strata,06 to 10,2628,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1645000,-,710,Strata,01 to 05,2316,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1188000,-,495,Strata,01 to 05,2399,Jan-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,2938000,-,1163,Strata,11 to 15,2527,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1098000,-,484,Strata,01 to 05,2267,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1620000,-,710,Strata,01 to 05,2280,Jan-21
DUNEARN 386,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,2278000,-,926,Strata,01 to 05,2461,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1129000,-,495,Strata,01 to 05,2280,Jan-21
WATERFORD RESIDENCE,KIM YAM ROAD,Apartment,9,CCR,999 yrs lease commencing from 1841,Resale,1,2380000,-,1744,Strata,06 to 10,1365,Jan-21
THE ASTON,KAY POH ROAD,Apartment,10,CCR,Freehold,Resale,1,2150000,-,1765,Strata,11 to 15,1218,Jan-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,1586000,-,614,Strata,16 to 20,2585,Jan-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2151000,-,915,Strata,11 to 15,2351,Jan-21
JAYA TOWER,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,Resale,1,4050000,-,2024,Strata,06 to 10,2001,Jan-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,3750000,-,2153,Strata,11 to 15,1742,Jan-21
TIARA,KIM SENG WALK,Condominium,9,CCR,Freehold,Resale,1,2800000,-,1507,Strata,06 to 10,1858,Jan-21
RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1895000,-,861,Strata,01 to 05,2201,Jan-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,2800000,-,1109,Strata,06 to 10,2525,Jan-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,Freehold,New Sale,1,1724000,-,624,Strata,01 to 05,2761,Jan-21
ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,Resale,1,4500000,-,2390,Strata,01 to 05,1883,Jan-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,2735700,-,1044,Strata,06 to 10,2620,Jan-21
ORCHARD COURT,OXLEY ROAD,Apartment,9,CCR,993 yrs lease commencing from 1973,Resale,1,2180000,-,1453,Strata,11 to 15,1500,Jan-21
RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1760000,-,861,Strata,01 to 05,2044,Jan-21
RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,Freehold,Resale,1,3350000,-,1528,Strata,06 to 10,2192,Jan-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,1670000,-,1012,Strata,11 to 15,1650,Jan-21
TWENTYONE ANGULLIA PARK,ANGULLIA PARK,Condominium,9,CCR,Freehold,Resale,1,12275000,-,3154,Strata,31 to 35,3892,Jan-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,3050000,-,1044,Strata,11 to 15,2921,Jan-21
SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,Freehold,Resale,1,2320000,-,1432,Strata,01 to 05,1621,Jan-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,4338000,-,1528,Strata,06 to 10,2838,Jan-21
THE HERMITAGE,SARKIES ROAD,Apartment,10,CCR,Freehold,Resale,1,1590000,-,850,Strata,01 to 05,1870,Jan-21
28 SHELFORD,SHELFORD ROAD,Apartment,11,CCR,Freehold,Resale,1,1300000,-,807,Strata,01 to 05,1610,Jan-21
PEACE CENTRE/MANSIONS,SOPHIA ROAD,Apartment,9,CCR,99 yrs lease commencing from 1970,Resale,1,1430000,-,2347,Strata,26 to 30,609,Jan-21
JUNIPER AT ARDMORE,ARDMORE PARK,Apartment,10,CCR,Freehold,Resale,1,15000000,-,6006,Strata,21 to 25,2497,Jan-21
THE MARQ ON PATERSON HILL,PATERSON HILL,Condominium,9,CCR,Freehold,Resale,1,12000000,-,3089,Strata,16 to 20,3884,Jan-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,1620000,-,614,Strata,06 to 10,2640,Jan-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,1950000,-,1098,Strata,11 to 15,1776,Jan-21
PARC EMILY,MOUNT EMILY ROAD,Condominium,9,CCR,Freehold,Resale,1,1613000,-,904,Strata,01 to 05,1784,Jan-21
NOVENA SUITES,MOULMEIN ROAD,Apartment,11,CCR,Freehold,Resale,1,1240000,-,667,Strata,06 to 10,1858,Jan-21
LOFT @ NATHAN,NATHAN ROAD,Apartment,10,CCR,Freehold,Resale,1,835000,-,463,Strata,06 to 10,1804,Jan-21
